,address,issue_reported,location_latitude,location_longitude,published_date
115,11000 N Ih 35 Nb,Crash Urgent,30.3742279,-97.6784163,2017-09-28
116,5502-5629 N Lamar Blvd,Crash Service,30.323774,-97.727723,2017-10-13
117,Western Trails Blvd & Frontier Trl,Crash Urgent,30.2301551,-97.7953175,2017-09-29
118,8832-8924 Burnet Rd,Crash Service,30.372729,-97.726673,2017-10-16
119,5200 N Capital Of Texas Hwy Sb,Traffic Hazard,30.3501159,-97.7969365,2017-09-29
120,2205-2525 S Lakeshore Blvd,Traffic Impediment,30.242596,-97.717457,2017-10-16
121,10617-10911 N FM 620 RD,COLLISION,30.4456087,-97.8320874,2017-10-05
122,9315 Northgate Blvd,Traffic Impediment,30.372089,-97.715521,2017-10-14
123,N Mopac Expy Sb & Northland To Mopac Sb Ramp,Traffic Hazard,30.334109,-97.755853,2017-10-15
124,10625 N LAMAR BLVD,Crash Service,30.3757261,-97.6897954,2017-09-29
125,E 51st St & N Ih 35 Svrd Sb,zSTALLED VEHICLE,30.3101624,-97.7113124,2017-09-28
126,10206 N Ih 35 Svrd Sb,Crash Service,30.366927,-97.682932,2017-10-16
127,Lakeline Blvd & W Parmer Ln,Crash Urgent,30.4879587,-97.7713383,2017-10-03
128,W Parmer Ln & Metric Blvd,Crash Service,30.4132377,-97.6905898,2017-09-28
129,W William Cannon Dr & S 1st St,Crash Urgent,30.197108,-97.787848,2017-10-14
130,Chestnut Ave & Manor Rd,Traffic Hazard,30.2844577,-97.7181848,2017-10-01
131,14609-14853 N MOPAC TOLL TO N MOPAC NB,COLLISN/ LVNG SCN,30.452743,-97.696083,2017-10-16
132,Alta Vista Ave & E Riverside Dr,Crash Urgent,30.2501242,-97.7396736,2017-10-03
133,6101-6315 W Parmer Ln,COLLISION,30.4438527,-97.7425268,2017-10-09
134,Fm 1327 Rd & Bradshaw Rd,COLLISION,30.112775,-97.785290,2017-10-15
135,W Oltorf St & S 1st St,Traffic Hazard,30.2421165,-97.7596299,2017-10-06
136,Manchaca Rd & Glen Allen,Crash Service,30.240846,-97.782181,2017-10-13
137,2500-3134 Scofield Ridge Pkwy,Crash Urgent,30.429843,-97.696817,2017-10-14
138,Scotland Well Dr & Spicewood Springs Rd,Traffic Hazard,30.422533,-97.7936209,2017-09-26
